Document,time,Topic
если полиция имеет право требовать соблюдение законов кто чем вообще тут что кишлак,2025-03-02 20:15:28,4
никабы надо носить один полицейский тетке никабе такой ситуации близко подошел прямо упор увидел,2025-03-02 20:13:41,4
иди тот отдел полиции разберись что здесь орешь бабки базаре есть правовые методы разбирательств это драка полицией скорее это специально спланированная провокация что такие боты раскачивали обстановку россии пишете три бота тоже денежки западных кураторов отрабатываете массовость мнения создаете есть три калеки тьфу достали эти боты,2025-03-02 20:09:57,4
ага идиотские доводы типа полицейским можно капризу возить родителя лицом автозаку что перевозить чужих детей им хочется куда хочется ибо голландии руки людям полицейские ломают наверное надо было цветами автозак закидать вообще что руки сломали что представиться исполнении обязаны так пшли холопы,2025-03-02 20:07:41,4
правильно это настоящая провокация кто тут выступает полиции настоящие провокаторы наша полиция мамая добренькая европе западе цацкаться стали правильно нечего устраивать кишлак кто громче орет тот прав закон един для всех полиция если права есть вышестоящие инстанции психбольная мамаша цирк устроила бабки провокаторши этих тоже кутузку,2025-03-02 20:04:56,4
этот сброд шерифов любому отвечать будет превышение служебных полномочий,2025-03-02 19:59:45,4
залезу ваш разговор так ведь грабят полиция это похоронная команда профилактики ноль посмотрите телевизор поймете что когда убьют тогда приходите уж скольких арестовывают решалово устанем считать,2025-03-02 19:51:38,4
возвращаясь михалкову дядя степа видим каким должен быть милиционер какие действия ожидает государство решений сотрудника согласно ситуации прошли годы проступки годы дядя степа просто пожурил аналогичное сегодня сломают руки ноги обязательно засунут газельку,2025-03-02 19:43:39,4
просто поставьте себя место полицейских думаете им нравится силой запихивать авто них такой же рабочий они увидели нарушение подъехали мамаша оказалась неадекватной пришлось применить силу вас что никогда задерживали элементарно вас привозят ваших слов составляют протокол довозят дома проверяют паспорт занавес мной так было может других иначе это нормально упирался пинался если этой курицы были мозги было намного проще,2025-03-02 19:15:28,4
скажу так полицейские натуральные чмошники которые кроме женщинами больше кем бороться могут трусливо сваливают если реально нужно решить проблему позорники форме мля,2025-03-02 19:13:20,4
всем неравнодушным которые засняли этот беспредел пытались вмешаться огромная вам благодарность люди только благодаря вам есть шанс окоротить этих беспредельщиков форме которые только над мамками издеваться могут ходу фиксировать нарушение прав стороны полиции пнд исполнении абсолютно законно всегда это нужно делать это попросили пошел сделал молча удумайте потом докажете ничего спокойно фиксировать камеру,2025-03-02 19:11:48,4
отсутствие документов вас есть достоверная информация даже если нее собой было документов отделении полиции будут ее идентифицировать документов,2025-03-02 19:01:12,4
никакого сопротивления было читайте фз они мусора должны были представиться они мусора должны были составить протокол месте вместо этого они мусора решили потащить мамашу отдел они мусора нарушили регламент они мусора напугали маленького ребенка эта мусорская мразь пдн распущенными волосами уставу есть организаторша этого мусорского ша баша они мусора будут отвечать превышение служебных полномочий детстве дядя степа был милиционером тут полицаи полицаи мусора мне надо объяснять что представляет себя мвд моей стране этот шлак огня боится сво всем этом этот шлак охраняет тыл если этой мамаши муж сво если выпросит отпуск своего начальства командования чтобы приехать разобраться этой падалью мусорской поступки если будет один толпой подготовленных решительных людей что тогда правильно мусора обосрут обоссут свои штаны вместе этой шалавой форме начальник будет блеть камеру козел что эти упыри уже уволены понаблюдаем принципе дальше будут развиваться события уверен что эти оборотни мусора попадут после этого жесткий пиздорез больше чем уверен что данная ситуация выйдет уровне будет заниматься генерал юстиции александр иванович бастрыкин лично так же этой ситуацией заинтересуется верховный главнокомандующий президент гарант конституции владимир владимирович путин,2025-03-02 18:57:21,4
дорогой товарищ вам предоставили пример значительно большего преступного сопротивления полиции задержании включаете тупого прошу прощения выражение закон должен быть единым для всех только там где братухи борцухи просто здят полицейских давая им право применение соразмерной сопротивлению силы вплоть огнестрела бравые ребята тушуются мнут тити это чистая уголовная статья между прочим женщину административке скрутили всяких сомнений такая избирательность дурно пахнет,2025-03-02 18:48:18,4
отличаете полицейского мусора может это субъективное мнение что детстве дядя степа мусор читали монхер может тех кто считает что вот там них полицейские мусора понимаю что они еще могли сделать если она сопротивлялась законным требованиям,2025-03-02 18:45:06,4
тут дело том что боты стороне полиции сегодня,2025-03-02 18:43:26,4
нам нужно ведомство контролю этими пидорасами погонах чуть что ставить ласточкой растопырку пулю затылок так чтоб черепушку расхуярило иначе эти ебаные проклятые вонючие мрази погонах возомнившие себя небожителями ничего поймут когда массово казнить такие косяки начнут сразу работать будут уже азермразь структуры проникает творит что захочется отстрел выблядков иначе эта полиция нахуй нужна нее одни проблемы никакой помощи оттуда дождешься сидят ублюдки налоги жрут еще ищут стрясти это нормально это позор бандиты погонах мразоты чести достоинства они сотни км фронту подойти бояться теплых кабинетах же комфортнее людям судьбы ломать три копейки будьте прокляты позорные сыны шлюх мусора проклятые вас доберемся вам шею скрутим,2025-03-02 18:35:25,4
села нормально давайте всех прохожих прохожих будут усаживать атозак господа полицейские нормально же просят только людей детьми что такого нормально же просят какие вас дела права отказаться когда вас нормально просят полицейские уже мама напала полицейских вот комментариях дошло ехала ехала самокате который даже электро вместе ребенком вдруг торгового центра решила напасть полицейских толпу мужиков форме оружием самокатом них бросила гы,2025-03-02 18:23:06,4
так они стучат им башке вот поэтому эти терпилы которые пришли полицию самоутверждаются теперь женщинах отрываются обычных гражданах тут кто правительства сказал что надо поднимать престиж мвд повышать доверие граждан сотрудникам так вот видимо сами полицаи это поняли так недоразвитому мозгу дано,2025-03-02 18:21:38,4
сопротивление полиции могут вытащить машины мордой асфальт ключевое слово сопротивление полиции сопротивляйтесь ничего будет наведения порядка полицией россии нужен беспредел пусть работают,2025-03-02 18:09:18,4
полиция выполняла работу человек нарушил должен отвечать зачем она начала сопротивляться что сейчас если напасть полицию преступление анулируется прикольно,2025-03-02 18:04:04,4
инна том дело что законных прав там было откуда вас такая социальная неприязнь полицейским что привлекались,2025-03-02 17:51:05,4
тупые пезды орущие полиция всем правильно сделала попросили хорошему пошла затолкали делу орущие пезды что будете делать если эта дура справится управлением покалечит свое чадо если пострадает невинный человек,2025-03-02 17:48:36,4
когда заметили что превышение полномочий полицейских комментаторами оправдывается что фиксировать нарушение прав стороны полицейских требовать них представиться исполнении это совершенно законно такое переживание началось разжигание ненависти полицейским иначе понимаем законная защита своих прав людьми это разжигание ненависти полицейским мило оправдание превышения полномочий отношению матери оскорбления действующих закону прохожих это разжигание нет же очень интересный случай,2025-03-02 17:46:29,4
фиксируем чате комментаторы под этим видео сообщают что полицейские имеют право насилие только вот беда должно быть каждой ситуации обосновано насилие это если закону знаем дубинка табельное оружие делают полицейского божком который применяет насилие любому своему движению души надо этом так рассказывать уроках правоведения так фиксирующих доблестную работу полицейских камеру требования должностных лиц исполнении представиться это несанкционированный митинг что занятный материал для уроков правоведения школьникам конституция конституция,2025-03-02 17:32:42,4
инна просто иди полиция это власть которая имеет право насилие для этого им выдают дубинки прочее если тупая мамаша хочет прикончить ребенка помощью самоката иначе езду зимой двухколесном средстве определить нельзя ее посадить автозак будет неисполнением обязанности полицейского ребята молодцы еще разогнали дубинками этих теток собравшихся поглазеть несанкционированный митинг,2025-03-02 17:26:30,4
